event_id,roi,lon,lat,area_ha,radd_any,clear_post,s1_post,ang_2020_2021_deg,tau,registered
C1766,CG1,29.512,1.083,1.519,2021-01-03,28.706,80.419,42.746,16.309,1
C1767,CG1,29.518,0.949,1.073,2021-01-25,33.364,88.548,53.88,16.309,1
C1768,CG1,29.542,1.062,1.966,2021-01-01,30.749,80.806,54.278,16.309,1
C1769,CG1,29.545,1.021,1.073,2021-01-27,26.419,75.774,36.152,16.309,1
C1770,CG1,29.556,1.087,1.877,2021-03-14,21.94,68.29,41.203,16.309,1
C1771,CG1,29.557,1.059,2.235,2021-01-01,27.885,80.806,45.82,16.309,1
C1772,CG1,29.559,1.036,1.251,2021-03-04,21.42,70.226,46.279,16.309,1
C1773,CG1,29.569,1.068,1.609,2021-03-28,20.789,65.581,35.769,16.309,1
C1774,CG1,28.753,1.328,7.954,2021-01-08,23.065,107.194,33.748,16.309,1
C1775,CG1,28.764,1.329,1.519,2021-01-08,22.966,107.194,58.186,16.309,1
C1776,CG1,28.781,1.108,12.424,2021-10-16,3.885,22.839,29.568,16.309,1
C1777,CG1,28.87,1.325,2.771,2021-01-03,52.403,108.323,62.761,16.309,1
C1778,CG1,28.87,1.327,1.877,2021-01-01,53.072,108.774,57.568,16.309,1
C1779,CG1,28.871,1.319,1.877,2021-02-01,48.324,101.75,53.139,16.309,1
C1780,CG1,28.872,1.32,1.341,2021-01-01,52.416,108.774,52.358,16.309,1
C1781,CG1,28.874,1.315,1.162,2021-03-02,42.334,94.484,51.647,16.309,1
C1782,CG1,28.875,1.325,4.916,2021-01-08,50.289,107.194,60.199,16.309,1
C1783,CG1,28.876,1.328,4.469,2021-01-01,53.331,108.774,56.6,16.309,1
C1784,CG1,28.887,1.329,1.519,2021-01-03,26.375,108.323,43.697,16.309,1
C1785,CG1,28.897,1.176,2.771,2021-07-19,25.416,51.032,25.483,16.309,1
C1786,CG1,28.896,1.286,2.771,2021-01-13,32.477,106.065,71.283,16.309,1
C1787,CG1,28.898,1.281,1.162,2021-05-13,24.977,76.645,57.215,16.309,1
C1788,CG1,28.899,1.277,1.251,2021-06-08,25.355,68.533,37.95,16.309,1
C1789,CG1,28.899,1.261,3.933,2021-10-16,8.643,22.839,22.04,16.309,1
C1790,CG1,28.903,1.239,2.503,2021-07-30,20.828,46.419,54.135,16.309,1
C1791,CG1,28.903,1.176,1.877,2021-07-06,25.948,54.583,26.943,16.309,1
C1792,CG1,28.904,1.23,2.503,2021-06-13,31.713,66.367,41.27,16.309,1
C1793,CG1,28.904,1.224,1.341,2021-03-02,33.753,94.484,72.937,16.309,1
C1794,CG1,28.904,1.285,1.162,2021-01-25,50.052,103.355,45.92,16.309,1
C1795,CG1,28.905,1.239,1.251,2021-07-24,20.266,48.935,53.903,16.309,1
C1796,CG1,28.905,1.242,1.966,2021-01-08,41.896,107.194,74.712,16.309,1
C1797,CG1,28.905,1.244,1.43,2021-03-21,45.359,89.581,57.727,16.309,1
C1798,CG1,28.907,1.182,3.575,2021-07-02,27.618,44.355,26.33,16.309,1
C1799,CG1,28.91,1.191,7.865,2021-01-03,60.017,80.419,37.193,16.309,1
C1800,CG1,28.911,1.329,3.486,2021-01-13,41.702,106.065,58.675,16.309,1
C1801,CG1,28.911,1.239,2.145,2021-01-27,55.424,102.903,56.783,16.309,1
C1802,CG1,28.913,1.242,1.698,2021-02-06,56.445,100.5,46.974,16.309,1
C1803,CG1,28.915,1.19,1.519,2021-01-25,61.431,76.161,36.612,16.309,1
C1804,CG1,28.915,1.212,1.698,2021-03-14,48.791,68.29,33.387,16.309,1
C1805,CG1,28.915,1.241,4.737,2021-01-25,53.502,103.355,53.809,16.309,1
C1806,CG1,28.916,1.218,1.341,2021-01-01,63.369,80.806,52.229,16.309,1
C1807,CG1,28.918,1.188,1.251,2021-01-13,61.332,78.484,50.308,16.309,1
C1808,CG1,28.918,1.238,1.788,2021-03-14,48.954,68.317,48.189,16.309,1
C1809,CG1,28.923,1.187,4.469,2021-01-13,59.83,78.484,38.822,16.309,1
C1810,CG1,28.922,1.294,2.324,2021-01-08,54.478,107.194,47.768,16.309,1
C1811,CG1,28.922,1.237,1.609,2021-03-02,51.0,70.613,52.272,16.309,1
C1812,CG1,28.922,1.262,1.162,2021-01-01,62.978,83.283,59.689,16.309,1
C1813,CG1,28.922,1.297,3.307,2021-06-12,30.624,66.8,37.316,16.309,1
C1814,CG1,28.923,1.231,1.162,2021-03-14,49.769,68.29,45.904,16.309,1
C1815,CG1,28.923,1.253,11.44,2021-01-01,62.559,80.848,60.001,16.309,1
C1816,CG1,28.923,1.246,1.43,2021-02-08,58.183,73.857,46.397,16.309,1
C1817,CG1,28.924,1.314,1.43,2021-01-27,50.194,102.903,45.884,16.309,1
C1818,CG1,28.925,1.257,3.039,2021-01-01,61.855,80.806,49.94,16.309,1
C1819,CG1,28.928,1.314,5.452,2021-01-01,56.707,108.774,51.653,16.309,1
C1820,CG1,28.928,1.242,1.698,2021-01-01,55.669,80.806,55.17,16.309,1
C1821,CG1,28.929,1.185,2.324,2021-01-01,61.467,80.806,41.141,16.309,1
C1822,CG1,28.934,1.326,1.341,2021-01-25,51.943,90.965,47.069,16.309,1
C1823,CG1,28.935,1.212,1.788,2021-03-26,50.949,65.968,42.49,16.309,1
C1824,CG1,28.935,1.314,1.341,2021-01-03,57.688,80.419,56.745,16.309,1
C1825,CG1,28.935,1.293,1.162,2021-11-21,7.9,9.8,16.344,16.309,1
C1826,CG1,28.936,1.291,2.503,2021-01-01,57.924,80.806,58.455,16.309,1
C1827,CG1,28.934,1.183,3.575,2021-01-25,56.571,76.161,44.817,16.309,1
C1828,CG1,28.941,1.287,2.145,2021-01-01,59.499,80.806,52.55,16.309,1
C1829,CG1,28.941,1.264,1.162,2021-03-04,50.026,70.226,56.613,16.309,1
C1830,CG1,28.94,1.186,3.754,2021-01-27,59.221,75.774,43.512,16.309,1
C1831,CG1,28.941,1.314,1.341,2021-01-01,59.124,80.806,47.092,16.309,1
C1832,CG1,28.942,1.32,1.698,2021-01-27,52.478,75.774,48.623,16.309,1
C1833,CG1,28.944,1.232,1.162,2021-07-18,22.61,39.194,34.979,16.309,1
C1834,CG1,28.944,1.327,2.234,2021-02-06,53.612,74.143,53.018,16.309,1
C1835,CG1,28.944,1.188,1.519,2021-02-06,56.321,74.143,39.339,16.309,1
C1836,CG1,28.945,1.266,7.239,2021-01-01,60.993,80.806,63.798,16.309,1
C1837,CG1,28.946,1.307,1.877,2021-01-01,52.65,80.806,51.986,16.309,1
C1838,CG1,28.946,1.191,1.073,2021-01-27,56.721,75.774,40.923,16.309,1
C1839,CG1,28.946,1.231,4.558,2021-01-03,61.362,80.419,56.847,16.309,1
C1840,CG1,28.947,1.327,2.413,2021-02-06,52.687,74.143,50.33,16.309,1
C1841,CG1,28.95,1.329,1.877,2021-03-16,44.538,67.903,43.719,16.309,1
C1842,CG1,28.951,1.23,2.324,2021-01-15,60.496,78.097,54.515,16.309,1
C1843,CG1,28.952,1.198,3.218,2021-02-06,52.921,74.143,49.332,16.309,1
C1844,CG1,28.951,1.309,4.111,2021-01-03,53.123,80.419,58.917,16.309,1
C1845,CG1,28.952,1.314,1.072,2021-01-27,47.878,75.774,41.914,16.309,1
C1846,CG1,28.951,1.193,2.86,2021-01-27,55.509,75.774,42.512,16.309,1
C1847,CG1,28.954,1.2,9.474,2021-01-13,56.635,78.484,59.006,16.309,1
C1848,CG1,28.954,1.148,1.162,2021-02-18,52.058,72.429,50.97,16.309,1
C1849,CG1,28.956,1.31,1.519,2021-01-01,53.546,80.806,48.745,16.309,1
C1850,CG1,28.957,1.252,3.754,2021-02-06,51.614,74.143,54.995,16.309,1
C1851,CG1,28.963,1.157,1.698,2021-03-14,49.727,68.29,51.987,16.309,1
C1852,CG1,28.963,1.264,1.073,2021-02-08,51.625,73.857,60.851,16.309,1
C1853,CG1,28.97,1.137,1.43,2021-05-25,40.375,56.161,36.144,16.309,1
C1854,CG1,28.975,1.227,1.43,2021-02-08,55.389,73.857,57.155,16.309,1
C1855,CG1,28.984,1.157,1.073,2021-01-01,62.554,80.806,56.545,16.309,1
C1856,CG1,28.989,1.319,1.698,2021-03-02,42.027,70.613,56.509,16.309,1
C1857,CG1,28.992,1.277,2.503,2021-07-12,27.14,41.129,41.12,16.309,1
C1858,CG1,28.994,1.153,3.307,2021-01-25,60.724,76.161,45.588,16.309,1
C1859,CG1,28.997,1.277,1.609,2021-07-14,21.962,40.484,41.694,16.309,1
C1860,CG1,29.0,1.248,1.341,2021-01-27,52.56,75.774,42.988,16.309,1
C1861,CG1,29.001,1.23,1.609,2021-02-08,55.906,73.857,45.966,16.309,1
C1862,CG1,29.01,1.124,1.788,2021-01-01,60.182,80.806,49.804,16.309,1
C1863,CG1,29.012,1.258,1.877,2021-01-01,57.319,80.806,61.037,16.309,1
C1864,CG1,29.016,1.111,1.162,2021-08-05,24.136,33.871,30.177,16.309,1
C1865,CG1,29.016,1.263,2.056,2021-04-09,41.425,63.8,47.987,16.309,1
C1866,CG1,29.016,1.27,1.073,2021-03-04,49.853,70.226,48.746,16.309,1
C1867,CG1,29.017,1.273,2.234,2021-01-25,54.782,76.161,47.388,16.309,1
C1868,CG1,29.021,1.282,3.128,2021-06-30,23.117,45.0,41.763,16.309,1
C1869,CG1,29.025,1.24,2.86,2021-06-02,32.61,54.333,45.377,16.309,1
C1870,CG1,29.027,1.191,1.43,2021-04-09,41.292,63.8,31.707,16.309,1
C1871,CG1,29.027,1.182,1.609,2021-01-03,60.661,80.419,45.31,16.309,1
C1872,CG1,29.028,1.155,1.251,2021-03-26,47.382,65.968,53.963,16.309,1
C1873,CG1,29.032,1.28,3.307,2021-02-06,50.14,74.143,55.941,16.309,1
C1874,CG1,29.032,1.172,1.162,2021-01-01,56.625,80.806,54.652,16.309,1
C1875,CG1,29.033,1.246,3.039,2021-01-13,51.881,78.484,61.273,16.309,1
C1876,CG1,29.034,1.173,1.162,2021-01-01,58.592,80.806,26.724,16.309,1
C1877,CG1,29.033,1.156,4.111,2021-02-20,52.352,72.143,58.16,16.309,1
C1878,CG1,29.034,1.161,2.324,2021-01-13,50.92,78.484,60.896,16.309,1
C1879,CG1,29.036,1.162,1.877,2021-02-08,47.247,73.857,59.283,16.309,1
C1880,CG1,29.036,1.286,1.251,2021-02-08,52.147,73.857,44.648,16.309,1
C1881,CG1,29.036,1.238,1.073,2021-05-27,35.035,55.774,29.547,16.309,1
C1882,CG1,29.038,1.166,2.234,2021-02-06,51.763,74.143,52.811,16.309,1
C1883,CG1,29.039,1.189,1.519,2021-01-27,46.625,75.774,35.065,16.309,1
C1884,CG1,29.039,1.285,1.341,2021-01-03,58.972,80.419,49.585,16.309,1
C1885,CG1,29.04,1.278,2.771,2021-03-04,47.364,70.226,51.796,16.309,1
C1886,CG1,29.041,1.166,5.452,2021-05-27,38.233,55.774,34.661,16.309,1
C1887,CG1,29.042,1.276,1.519,2021-04-19,35.041,62.467,42.018,16.309,1
C1888,CG1,29.043,1.216,2.503,2021-01-27,47.874,75.774,55.574,16.309,1
C1889,CG1,29.044,1.229,1.788,2021-02-18,46.59,72.429,56.663,16.309,1
C1890,CG1,29.044,1.268,3.664,2021-07-26,22.076,36.613,40.156,16.309,1
C1891,CG1,29.044,1.235,2.324,2021-01-01,60.618,80.806,54.205,16.309,1
C1892,CG1,29.046,1.226,5.363,2021-01-01,56.79,80.806,60.954,16.309,1
C1893,CG1,29.047,1.223,1.43,2021-01-03,52.098,80.419,62.581,16.309,1
C1894,CG1,29.047,1.215,6.167,2021-01-01,51.222,80.806,62.677,16.309,1
C1895,CG1,29.049,1.212,1.073,2021-01-13,48.381,78.484,41.361,16.309,1
C1896,CG1,29.049,1.176,3.218,2021-01-15,53.553,78.097,45.787,16.309,1
C1897,CG1,29.049,1.184,1.341,2021-01-01,56.91,80.806,48.516,16.309,1
C1898,CG1,29.05,1.138,1.698,2021-01-01,48.611,80.806,48.884,16.309,1
C1899,CG1,29.049,1.289,1.073,2021-02-06,53.778,74.143,50.081,16.309,1
C1900,CG1,29.05,1.252,1.609,2021-01-15,51.389,78.097,46.034,16.309,1
C1901,CG1,29.051,1.212,1.341,2021-02-18,45.252,72.429,64.886,16.309,1
C1902,CG1,29.052,1.108,13.675,2021-01-01,38.703,80.806,67.135,16.309,1
C1903,CG1,29.053,1.173,1.073,2021-02-18,47.781,72.429,51.691,16.309,1
C1904,CG1,29.052,1.292,1.341,2021-03-02,48.638,70.613,56.285,16.309,1
C1905,CG1,29.052,1.139,1.073,2021-03-14,39.36,68.29,39.364,16.309,1
C1906,CG1,29.053,1.277,1.251,2021-01-01,56.004,80.806,52.984,16.309,1
C1907,CG1,29.053,1.167,1.073,2021-01-01,48.767,80.806,55.622,16.309,1
C1908,CG1,29.053,1.288,1.43,2021-01-27,51.113,75.774,53.985,16.309,1
C1909,CG1,29.055,1.233,3.486,2021-01-01,58.875,80.806,55.178,16.309,1
C1910,CG1,29.055,1.18,1.073,2021-01-15,45.501,78.097,47.052,16.309,1
C1911,CG1,29.055,1.173,1.43,2021-03-16,36.912,67.903,56.605,16.309,1
C1912,CG1,29.056,1.174,3.039,2021-01-03,44.205,80.419,49.454,16.309,1
C1913,CG1,29.055,1.118,12.424,2021-07-18,15.453,39.194,39.524,16.309,1
C1914,CG1,29.057,1.163,1.966,2021-08-05,18.579,33.871,36.002,16.309,1
C1915,CG1,29.056,1.256,1.073,2021-02-06,51.099,74.143,36.786,16.309,1
C1916,CG1,29.058,1.251,2.324,2021-02-08,50.516,73.857,48.862,16.309,1
C1917,CG1,29.059,1.142,1.341,2021-03-14,28.403,68.29,45.804,16.309,1
C1918,CG1,29.06,1.166,1.162,2021-01-25,42.742,76.161,41.899,16.309,1
C1919,CG1,29.06,1.23,1.073,2021-02-08,52.547,73.857,39.059,16.309,1
C1920,CG1,29.061,1.175,1.609,2021-05-15,32.343,58.097,40.861,16.309,1
C1921,CG1,29.061,1.227,1.251,2021-01-01,57.83,80.806,41.379,16.309,1
C1922,CG1,29.062,1.283,1.162,2021-08-29,16.118,28.452,28.494,16.309,1
C1923,CG1,29.061,1.297,2.413,2021-01-01,57.536,80.806,51.641,16.309,1
