lon,lat,cls,w,sep,res,x,uv,yy,blk,cls_m,cnt_202012,cnt_202101,cnt_202102,cnt_202103,cnt_202104,cnt_202105,cnt_202106,cnt_202107,cnt_202108,cnt_202109,cnt_202110,cnt_202111,cnt_202112,cnt_202201,nbr_202012,nbr_202101,nbr_202102,nbr_202103,nbr_202104,nbr_202105,nbr_202106,nbr_202107,nbr_202108,nbr_202109,nbr_202110,nbr_202111,nbr_202112,nbr_202201,ndvi_202012,ndvi_202101,ndvi_202102,ndvi_202103,ndvi_202104,ndvi_202105,ndvi_202106,ndvi_202107,ndvi_202108,ndvi_202109,ndvi_202110,ndvi_202111,ndvi_202112,ndvi_202201,b_ndvi,drop_ndvi,b_nbr,drop_nbr,unresolved,n_clear_2021,m_indep,obs_tercile
-55.09587724749635,-6.848980304948261,1,1.319863186542528,0.525554104066672,0.2607764799171934,0.7689114388766867,0.8650460846322231,0.9580096790028854,-551_-69,1,2,3,0,2,0,5,5,5,6,2,0,2,0,2,0.6341463327407837,0.3407213389873504,-9.0,0.425914853811264,-9.0,0.6391117572784424,0.4073285162448883,0.1875837445259094,0.1633441150188446,0.390923261642456,-9.0,0.3755626380443573,-9.0,0.5720874667167664,0.7715254426002502,0.3836556375026703,-9.0,0.5345634818077087,-9.0,0.8753202557563782,0.6519129872322083,0.4458945095539093,0.4004271924495697,0.623138964176178,-9.0,0.4704846739768982,-9.0,0.7261558771133423,7.0,0.11017531752586374,6.0,0.16050194700558978,False,8,7.0,low
-55.1142927108208,-6.692583613983056,1,0.9564526302564328,1.0195233249700693,0.5916811727485972,0.5610639525418388,0.5237720703937696,0.7870071155018161,-552_-67,1,2,7,0,0,2,12,2,9,8,4,2,6,0,5,0.4864337742328644,0.6338256597518921,-9.0,-9.0,0.1949532628059387,0.1575988382101059,0.1238222122192382,-0.0441306270658969,-0.0314004607498645,0.009320905432105,0.1384439319372177,0.1186943650245666,-9.0,0.1015467420220375,0.4848538637161255,0.8172955513000488,-9.0,-9.0,0.1929584890604019,0.1392111331224441,-0.0703094229102134,-0.0297872349619865,-0.0137482685968279,0.0548532977700233,0.0911583304405212,0.0395903103053569,-9.0,0.0930930897593498,2.0,0.5958502937315239,2.0,0.4747020314551062,False,9,2.0,low
-55.18912237398796,-6.885182410898279,1,1.0406092450929334,0.6545632271376255,0.304147292461054,0.7768525272789385,0.7933139166744639,0.9519611406667738,-552_-69,1,0,3,0,0,2,10,8,10,12,4,6,6,0,2,-9.0,0.6376879811286926,-9.0,-9.0,0.3631111085414886,0.5131363868713379,0.4497912228107452,0.507317066192627,0.45954230427742,0.5591939687728882,0.6167576909065247,0.4849019646644592,-9.0,0.6694300770759583,-9.0,0.8547099232673645,-9.0,-9.0,0.671161949634552,0.8044722080230713,0.6231077313423157,0.794276237487793,0.7004719972610474,0.7368474006652832,0.829214334487915,0.5573962330818176,-9.0,0.8791868090629578,,0.04528125410988215,,-0.030631168967201527,True,9,,low
-54.9189091365248,-7.457499078410825,1,1.1264530147045977,0.5014384356475684,0.2479508474435141,0.8446705961286296,0.8768920314414901,0.9687212900252334,-550_-75,1,2,1,0,0,1,4,4,5,5,2,2,1,0,2,0.5100104212760925,0.1546165943145752,-9.0,-9.0,0.4403001666069031,0.5798277854919434,0.5637542009353638,0.6011533141136169,0.5863667726516724,0.5768494606018066,0.5292737483978271,0.6415210962295532,-9.0,0.3786348402500152,0.6166521906852722,0.4163947105407715,-9.0,-9.0,0.5420604944229126,0.7772243022918701,0.7655502557754517,0.824254035949707,0.8038492202758789,0.7433088421821594,0.6083415746688843,0.8541908264160156,-9.0,0.5421136617660522,,0.017946402231852177,,-0.005394361085361954,True,9,,low
-55.31488651376469,-6.665813818516293,1,1.3222067632553909,0.5641568853468698,0.3329683846134849,0.7344556800012295,0.8450397171052273,0.9368466231823714,-554_-67,1,1,2,1,2,0,3,5,5,4,5,2,4,1,1,0.1614621132612228,0.249840423464775,0.3205251395702362,0.3254105448722839,-9.0,0.2694497108459472,0.0889867842197418,-0.0065130260773003,-0.1479812562465667,0.1647523939609527,0.4770859479904175,0.460657000541687,0.4643939435482025,0.4287523627281189,0.3771527111530304,0.4715166091918945,0.3446364402770996,0.3428196012973785,-9.0,0.4402583539485931,0.3557586967945099,0.2935420870780945,0.2260407209396362,0.4655295014381408,0.6944710612297058,0.5807251930236816,0.4022488296031952,0.5526496767997742,,-0.002818081866611144,,0.024070817569736336,True,11,,high
-55.01170510537435,-7.002322723947463,1,0.942164251521212,0.5267187661792586,0.2115918372602016,0.8793715703642804,0.8644611959349028,0.974602984892836,-551_-71,1,2,1,0,2,0,5,2,6,5,3,1,1,1,2,0.4440004825592041,0.4644115567207336,-9.0,0.5823565721511841,-9.0,0.3600525557994842,0.3888287544250488,0.3493421077728271,0.2642229795455932,0.0873827785253524,0.3121542036533355,0.2360450625419616,0.3879941403865814,0.3653889298439026,0.2255677729845047,0.6821370720863342,-9.0,0.7443046569824219,-9.0,0.5765422582626343,0.6398261785507202,0.5434591770172119,0.443959891796112,0.3035258054733276,0.4130309522151947,0.4383920729160309,0.44036465883255,0.6270869374275208,8.0,0.12424613287051517,4.0,0.19121048019991982,False,10,8.0,mid
-55.10620787326372,-6.643625430998538,1,1.101510876544931,0.9588271138032228,0.4566286932948017,0.492219624753204,0.5744804098503505,0.8893639014125376,-552_-67,1,2,3,0,0,0,5,4,6,8,2,1,1,2,1,0.5068436861038208,0.541731059551239,-9.0,-9.0,-9.0,0.3101463317871094,0.0389780551195144,0.1332662850618362,0.0880841985344886,0.2246650606393814,0.2209618836641311,0.1640654802322387,0.4797021448612213,0.2212737947702407,0.7153233289718628,0.7912458181381226,-9.0,-9.0,-9.0,-0.0666438788175582,-0.029771614819765,-0.1223834082484245,-0.0869519487023353,-0.1427197307348251,-0.0648132041096687,-0.2075667232275009,0.0628019347786903,0.1238670721650123,2.0,0.8126380737457011,2.0,0.3152714578641786,False,9,2.0,low
-55.09390095387128,-6.845656538397021,1,1.035185365614285,0.3132793462309719,0.1690853519925974,0.9478733110812227,0.9513280580429172,0.9849735186877672,-551_-69,1,1,2,0,1,0,5,5,6,6,2,2,2,0,2,0.6751543283462524,0.4770150482654571,-9.0,0.482087641954422,-9.0,0.6304928660392761,0.6123393177986145,0.4969158768653869,0.4930833280086517,0.5029868483543396,0.6000691056251526,0.5871514678001404,-9.0,0.5720983147621155,0.7971854209899902,0.6791656613349915,-9.0,0.6322851777076721,-9.0,0.8854576349258423,0.8414562344551086,0.7776150107383728,0.6845092177391052,0.7258667945861816,0.6684087514877319,0.6739062666893005,-9.0,0.6784604787826538,,0.08263055483500159,,0.033367016911506675,True,9,,low
-54.98062339654381,-6.7509741074508245,1,0.5770389934909014,0.9509307657848288,0.2493188373106337,0.8531907079183603,0.5809257382892246,0.8685584705613326,-550_-68,1,1,1,0,2,1,4,5,5,4,5,2,3,0,3,0.5980551242828369,0.6087795495986938,-9.0,0.3913604021072387,0.5001749992370605,0.5025938153266907,0.5404401421546936,0.5294848084449768,0.5031529664993286,0.1193181797862052,0.2417259067296981,0.2314774245023727,-9.0,0.2891986072063446,0.7565320730209351,0.8563874363899231,-9.0,0.636336088180542,0.7401542663574219,0.8129602074623108,0.8154260516166687,0.8340156078338623,0.7381719350814819,0.5116847157478333,0.4886113107204437,0.4569502174854278,-9.0,0.6340693831443787,9.0,0.25091905146837234,9.0,0.3013251964002848,False,10,9.0,mid
-55.114382542349205,-6.692853108568288,1,1.0605467602364749,1.0508128204482214,0.5273665908557933,0.4406837165665883,0.4968658242674534,0.8493656442136751,-552_-67,1,2,5,0,0,0,6,6,7,8,4,2,6,0,6,0.4506766200065613,0.6352126598358154,-9.0,-9.0,-9.0,0.0430314689874649,0.1161740869283676,0.0310973431915044,0.0571629367768764,0.0537922643125057,0.1827012002468109,0.1958016604185104,-9.0,0.3029585778713226,0.4432683289051056,0.8311918377876282,-9.0,-9.0,-9.0,0.0722617581486702,0.0710707977414131,0.0542087964713573,0.0748526155948638,0.0854668691754341,0.1095682382583618,0.1306356340646743,-9.0,0.3040195405483246,2.0,0.5244695520959795,2.0,0.42010469757951796,False,8,2.0,low
