ang_2020,ang_2021,ang_2022,ang_2023,ang_2024,ang_2025,dummy,s2ang_2020,s2ang_2021,s2ang_2022,s2ang_2023,s2ang_2024,s2ang_2025,lon,lat,roi,grp
7.2620792613781315,8.975118766592963,8.069321762443245,7.649529119343313,8.640675192338415,8.50763569947368,0,0.2997182702349346,2.2755242352914133,1.914032566859562,1.6787696970939205,2.572603023270709,1.9254788311161561,23.13049567197253,0.2929855299155819,CD_congo,AF
6.232999874789276,7.294501157621515,8.24814876211109,6.761199072418718,10.632066024645336,10.1534618817234,0,0.8946387516048199,0.7238946064766189,1.3161278979146982,1.8143781994099777,0.5632564823705254,0.9090626840867123,23.20775078640681,0.4564789116253348,CD_congo,AF
6.213533408916653,5.599786144751589,2.533008732370641,5.516451071043469,8.801716724981247,9.032862794451223,0,1.3397874715426301,0.9506465859743459,2.0885000429451277,0.6243562098031478,2.6075279751967724,1.0731544624268718,23.383371424452175,0.2870566490403931,CD_congo,AF
6.629257869912935,5.48455177765101,8.505362371408292,3.8855153081849294,8.701078421687876,10.064560399493399,0,2.16553337567585,1.7705838617519856,1.347135276113959,1.163277701261888,1.7533359355715916,0.9156163843648208,23.226166249731257,0.34194371290009584,CD_congo,AF
7.530271256620673,8.13465333226439,5.458315985619337,4.400454044305045,7.112340998014945,5.859649337043223,0,1.6368013843987783,2.007127994137503,6.410507991482327,4.238289763291862,0.6043792147173613,1.5851216509007824,23.184484420548113,0.05268619141360994,CD_congo,AF
8.583334240248229,8.13829464632726,6.067181672969827,6.761048061659261,8.287925998263347,9.843444935779665,0,2.1243801789374577,0.9811321516183907,2.2046862469870714,1.4313778090574034,1.2558211513699216,1.174681518560194,23.457212940806798,0.1325464201718354,CD_congo,AF
9.522209344577279,7.557117875440663,8.018389380298077,6.53039540536218,5.562563744403637,6.035356678453742,0,1.6220741435950643,1.1028006973560105,1.1158018169109645,0.8709892314521245,4.496977452964269,1.8466383153110135,23.02979452862273,0.01693324310565298,CD_congo,AF
7.718083447118924,6.915269412659355,7.7335919640808966,6.575641303590844,8.415344237083156,8.382476141607324,0,2.7096002688576464,2.1915581209574877,1.0184726464625822,2.3572590187036684,1.9152703376312097,3.716401741111536,23.46916053408559,0.40240033152133964,CD_congo,AF
7.1002324792280405,5.59998166863787,5.783635485389212,3.679774782268478,0.0,9.02745889410127,0,11.240922674912587,7.470922921267234,5.125194024235653,3.3416996344314787,4.132109175572307,2.4221185705159334,23.35687112357065,0.24187139024918117,CD_congo,AF
7.060622914129534,3.9310219920599057,7.966377982840406,6.318298820869024,7.767746423720261,7.704711215964989,0,2.0315901944494796,1.0666213002801748,2.6041170184871274,1.5540938867735794,0.3930232445584129,2.9721269570967634,23.421459992498843,0.4353685024485261,CD_congo,AF
7.158492543990204,6.202869440366513,10.458860411220014,9.218131499894278,9.229470417103157,9.1905821574409,0,0.5530993932167916,1.6443976602898824,1.0785991535414363,3.846086457501873,1.2131886742242597,2.9922548613525386,23.392713903407017,0.45144834603426554,CD_congo,AF
8.021949505369415,7.357340953722665,8.138800043708954,5.197882304567843,8.806231313750143,8.186467454783697,0,1.2259552826357416,2.1809618393934636,1.7452123155158603,1.6418779892155098,1.3499837660523792,1.8629344071730316,23.039226839105986,0.35362181159364964,CD_congo,AF
4.986175649090244,6.058675139109797,8.1427227052598,8.560756050214245,8.917596945866018,9.285018526201728,0,3.0715350556878045,0.5571065270572653,5.689135659542023,4.115056016796572,1.4973377067269562,1.5278671880089099,23.0799205214766,0.0552014742091446,CD_congo,AF
8.552996715099894,6.854651502458776,8.177087451055439,5.860248185891027,7.0766399848597406,8.299950068982113,0,1.1557241760880164,0.45262701692193974,5.6950064268591305,5.835128323720929,1.671104287127409,3.9446212355118444,23.1799030125991,0.0846662155282649,CD_congo,AF
7.360574032599192,8.698482540767163,7.572656283491769,8.023333660922662,7.510425342858658,13.029613057100654,0,1.266305488358101,2.7846751190539987,2.5326859034366946,0.7046670901832335,4.751893519155728,3.4880914106646768,23.297402651761935,0.24735111348231023,CD_congo,AF
7.75491243787836,7.560677960197171,0.0,0.0,8.963060065562878,8.590266622920478,0,4.320774463227682,1.430673810328838,1.4813682948421427,1.9749818651793412,1.2436801063415936,4.572678966962115,23.468082555744644,0.3632337851337285,CD_congo,AF
8.832241437423841,6.310202516017658,7.817495916011374,7.056466069833491,8.059664080244227,9.91975030173662,0,0.49898577498086616,0.7150716848197833,2.0364685859085676,2.0123909240314193,0.5722700320151147,0.9148866948301361,23.306475636131545,0.37024064434986076,CD_congo,AF
