s2_2224,lon,lat
5.932458206419333,34.28561,31.300781
7.798488727055618,34.288762,31.300749
9.070022589796663,34.291914,31.300718
9.346682921541658,34.295065,31.300686
8.877301001395217,34.298217,31.300654
15.288563080648812,34.232067,31.304012
15.310991709955523,34.235219,31.303982
10.797385877639476,34.238371,31.303952
9.319839874936545,34.241523,31.303921
10.292271749094795,34.244674,31.303891
9.844076997920602,34.247826,31.30386
11.564867508564852,34.250978,31.303829
6.930775586844966,34.25413,31.303799
8.234007996688023,34.257281,31.303768
7.693062014834932,34.260433,31.303737
9.306279388415346,34.263585,31.303706
7.761892436635196,34.266737,31.303675
10.735745633129856,34.269888,31.303644
7.578115488665022,34.27304,31.303613
7.812377789612996,34.276192,31.303581
6.699998244687062,34.279344,31.30355
8.27003237238371,34.282495,31.303519
7.530672356246075,34.285647,31.303487
8.898286060301716,34.288799,31.303455
11.515024560431925,34.29195,31.303424
6.623335684056144,34.295102,31.303392
5.240068460709447,34.298254,31.30336
13.822810819546731,34.232103,31.306719
10.682975302735429,34.235254,31.306688
5.990640601283112,34.238406,31.306658
7.577869803380423,34.241558,31.306627
7.1022253371784005,34.24471,31.306597
6.685932960741135,34.247862,31.306566
12.936103742603306,34.251014,31.306536
11.124939282889905,34.254166,31.306505
8.780436148790342,34.257317,31.306474
11.356545458824368,34.260469,31.306443
11.279528242265426,34.263621,31.306412
9.49547830666452,34.266773,31.306381
7.10524298959879,34.269925,31.30635
8.334456569725845,34.273077,31.306319
7.491901986953823,34.276228,31.306288
7.820570514825105,34.27938,31.306256
7.612723719279325,34.282532,31.306225
7.157600274388454,34.285684,31.306193
7.851702975556157,34.288836,31.306162
11.895525353440345,34.291987,31.30613
6.562342038007081,34.295139,31.306098
4.573121415268872,34.298291,31.306066
13.47404552570812,34.228986,31.309455
23.040008014814962,34.232138,31.309425
14.267996325452396,34.23529,31.309394
5.946952097641005,34.238442,31.309364
6.007214539845519,34.241594,31.309334
6.557358791636164,34.244746,31.309303
7.485108169183451,34.247898,31.309273
6.910310788076744,34.25105,31.309242
7.259115670114123,34.254201,31.309211
