roi,grp,lon,lat,dwc,ang,s1,s2,pr,tas,s1p,s2p,prp,tasp,year,pr_an,tas_an,s1_min,s2_min,blk,b,dev,yr_c
CD_congo,AF,23.20775078640681,0.4564789116253348,1,8.136392234841802,30,7,1.5188259770545116,298.30706087606194,29,1,1.6781317713837185,298.3115901075872,2018,0.0795575545847651,-0.4492855727904157,29,1,232_4,6.518055342751279,1.6183368920905226,-3
CD_congo,AF,23.38337142445217,0.2870566490403931,1,6.09035830316175,30,6,1.724213926998054,298.080806666105,29,0,1.853951824007467,298.1748744020529,2018,0.2149154877037045,-0.513514163695902,29,0,233_2,6.213533408916653,-0.12317510575490331,-3
CD_congo,AF,23.226166249731257,0.3419437129000958,1,0.0,30,6,1.6005544801625362,298.087147743809,29,0,1.732892510590986,298.1391140764129,2018,0.17172554114165273,-0.5069363389255841,29,0,232_3,6.629257869912935,-6.629257869912935,-3
CD_congo,AF,23.184484420548117,0.0526861914136099,1,6.422978601293389,30,5,1.6159948845776668,298.0183393702813,29,0,1.717306551633314,298.13240896291063,2018,0.2116924782961842,-0.5352955501122096,29,0,231_0,7.74278473330364,-1.3198061320102514,-3
CD_congo,AF,23.4572129408068,0.1325464201718354,1,8.046052106314647,30,6,1.4461596300276869,298.3655532695751,29,0,1.5970329764465845,298.45834143873486,2018,0.14511633456947792,-0.544698034766725,29,0,234_1,8.13829464632726,-0.092242540012613,-3
CD_congo,AF,23.02979452862273,0.0169332431056529,1,6.182670361660176,30,7,1.476595147457992,298.2373523720093,29,0,1.558657509384588,298.32683917206896,2018,0.18114810788335745,-0.5087685564614617,29,0,230_0,7.557117875440663,-1.3744475137804866,-3
CD_congo,AF,23.46916053408559,0.4024003315213396,1,8.638560755777464,30,6,1.5963594754609218,298.0639488366831,29,1,1.7089653286318338,298.1713567102539,2018,0.19267247596087422,-0.5158976845646635,29,1,234_4,7.718083447118924,0.9204773086585396,-3
CD_congo,AF,23.35687112357065,0.2418713902491811,1,5.165399068085486,30,6,1.666393204537307,298.02856290531685,29,0,1.839784142671064,298.14134738757394,2018,0.1899337636053795,-0.5012386285397952,29,0,233_2,7.1002324792280405,-1.934833411142554,-3
CD_congo,AF,23.421459992498843,0.4353685024485261,1,6.481488307517165,30,6,1.7618072917136305,298.01771234004724,29,1,1.8536829623560465,298.09312998082663,2018,0.22164884747269142,-0.49270874352208693,29,1,234_4,7.060622914129534,-0.579134606612369,-3
CD_congo,AF,23.392713903407017,0.4514483460342655,1,6.10291512645819,30,7,1.6231494536074749,297.95612853305863,29,1,1.737345230875448,298.01419288353986,2018,0.12772577700468268,-0.4718514057070138,29,1,233_4,7.158492543990204,-1.0555774175320138,-3
CD_congo,AF,23.039226839105982,0.3536218115936496,1,7.974302373320151,30,7,1.3411685516509166,298.1634688137741,29,0,1.5374734076838052,298.137359556832,2018,0.09271589459183183,-0.44722908770239655,29,0,230_3,8.021949505369415,-0.04764713204926441,-3
CD_congo,AF,23.0799205214766,0.0552014742091446,1,8.085805547734758,30,6,1.5272368182810894,298.18375546784915,29,0,1.570632380543188,298.2842480790516,2018,0.21869052925410237,-0.5610143679757584,29,0,230_0,5.465204278863124,2.620601268871634,-3
CD_congo,AF,23.1799030125991,0.0846662155282649,1,8.177945608440904,30,6,1.6159948845776668,298.0183393702813,29,0,1.717306551633314,298.13240896291063,2018,0.2116924782961842,-0.5352955501122096,29,0,231_0,8.490834593835153,-0.3128889853942489,-3
