event_id,s1_post_radd_any,s1_post_date_upper
RS500,3.0666666666666664,3.0666666666666664
F39623,12.35483870967742,12.35483870967742
RS2363,8.7,8.7
F15411,9.580645161290322,9.580645161290322
F9133,7.5,7.5
RS2274,25.17241379310345,25.17241379310345
F9137,8.7,8.7
F2976,9.580645161290322,9.580645161290322
F9132,8.7,8.7
F24384,26.0,26.0
F13154,18.41935483870968,18.41935483870968
F16324,6.3,6.3
F9123,10.35483870967742,10.35483870967742
F39673,12.35483870967742,12.35483870967742
F9124,9.580645161290322,9.580645161290322
F11023,6.3,6.3
F14314,8.7,8.7
F11024,12.35483870967742,12.35483870967742
F14063,8.7,8.7
RS504,7.5,7.5
F14313,8.7,8.7
RS505,4.64516129032258,4.64516129032258
F4302,4.967741935483871,10.67741935483871
F4286,4.967741935483871,10.67741935483871
F33763,8.7,12.161290322580644
F16360,7.5,7.5
F15296,6.3,6.3
F3987,10.35483870967742,10.35483870967742
RS303,10.35483870967742,10.35483870967742
F24364,12.35483870967742,15.466666666666667
F36112,13.516129032258064,13.516129032258064
F36114,12.35483870967742,12.35483870967742
RS224,10.35483870967742,10.35483870967742
F2885,27.161290322580644,27.161290322580644
F41340,12.35483870967742,12.35483870967742
RS11,11.193548387096774,11.193548387096774
RS2544,10.35483870967742,10.35483870967742
F14554,9.580645161290322,9.580645161290322
RS254,4.64516129032258,4.64516129032258
RS1611,9.580645161290322,9.580645161290322
F25399,13.516129032258064,15.066666666666666
F13160,10.35483870967742,10.35483870967742
F13848,9.580645161290322,9.580645161290322
F10999,15.266666666666666,15.266666666666666
F41326,14.466666666666667,14.466666666666667
F14262,12.35483870967742,12.35483870967742
F14252,10.35483870967742,10.35483870967742
F5584,15.266666666666666,15.266666666666666
F16837,17.258064516129032,28.32258064516129
F5583,24.344827586206897,24.344827586206897
F13166,11.193548387096774,11.193548387096774
F41328,22.161290322580644,22.161290322580644
F2886,23.32258064516129,23.32258064516129
F5875,8.7,8.7
F40553,26.0,26.0
F9018,14.466666666666667,14.466666666666667
F6200,10.35483870967742,10.35483870967742
F30466,14.466666666666667,14.466666666666667
RS507,3.8666666666666667,3.8666666666666667
F40554,18.41935483870968,18.41935483870968
F3423,11.193548387096774,11.193548387096774
F36131,13.516129032258064,13.516129032258064
F6508,11.193548387096774,11.193548387096774
RS498,13.516129032258064,13.516129032258064
F24367,28.32258064516129,28.32258064516129
F39725,11.193548387096774,11.193548387096774
F16833,16.096774193548388,28.32258064516129
F3388,8.7,8.7
F25404,26.0,26.0
F9128,10.35483870967742,10.35483870967742
F35300,3.8666666666666667,11.67741935483871
F14267,4.64516129032258,10.29032258064516
F40502,9.580645161290322,10.483870967741936
F13861,7.5,7.5
F3453,10.35483870967742,10.35483870967742
F5880,10.35483870967742,10.35483870967742
F6199,26.0,26.0
F6202,26.0,26.0
F5579,12.838709677419356,5.354838709677419
F10995,11.193548387096774,11.193548387096774
F36132,9.580645161290322,11.387096774193548
F36133,11.193548387096774,11.387096774193548
F14242,14.466666666666667,14.466666666666667
F9126,9.580645161290322,9.580645161290322
F11002,7.5,7.5
F10996,11.193548387096774,11.193548387096774
F3434,10.35483870967742,10.35483870967742
F5581,11.193548387096774,11.193548387096774
F11001,25.17241379310345,25.17241379310345
F41339,11.193548387096774,11.193548387096774
F3430,14.466666666666667,14.466666666666667
F13165,7.5,7.5
F5580,10.35483870967742,10.35483870967742
F13854,8.7,8.7
F41342,14.466666666666667,14.466666666666667
F13167,5.419354838709678,5.419354838709678
F13853,14.466666666666667,14.466666666666667
F25401,26.0,26.0
F40503,14.466666666666667,14.466666666666667
RS2369,5.419354838709678,5.419354838709678
F13170,27.161290322580644,27.161290322580644
F5951,9.580645161290322,9.580645161290322
F14558,11.193548387096774,11.193548387096774
F41325,13.516129032258064,13.516129032258064
F40501,13.516129032258064,13.516129032258064
F14561,11.193548387096774,11.193548387096774
RS2479,3.0666666666666664,3.0666666666666664
F11011,13.516129032258064,13.516129032258064
F14550,5.419354838709678,5.419354838709678
F17493,5.419354838709678,27.741935483870968
