event_id,region,in_custom_box,lon,lat,area_ha,classname,view_date,alert_code,image_before,image_after,bracket_days,bracket_mid,event_month,overlap_frac,ang_mean_deg,ang_npx,tau_deg,registered,clear_post,clear_total_2021,radd_date,radd_latency_days,block
A_94,A,True,-56.134893611244216,-4.593224804344354,25.60879153203573,DESMATAMENTO_CR,2021-07-11,347957,2021-06-08,2021-07-29,51,2021-07-03,7,0.8793436601868351,50.003940230739545,2461,11.393369413289843,1,11,22,,,-113_-10
A_95,A,True,-56.082938937030626,-4.5871744656268065,7.080188796384912,DESMATAMENTO_CR,2021-07-11,785451,2021-06-08,2021-08-08,61,2021-07-08,7,0.8762459725321367,39.829341088218094,646,11.393369413289843,1,16,25,2021-08-26,48.0,-113_-10
A_96,A,True,-56.07120039104156,-4.604524896314731,17.258324476509728,DESMATAMENTO_CR,2021-08-18,397043,2021-06-30,2021-08-18,49,2021-07-24,7,0.8760601433735933,43.52172637107304,1643,11.393369413289843,1,14,26,2021-10-07,74.0,-113_-10
A_97,A,False,-55.31465305630027,-4.316748471849866,22.893029524489958,DESMATAMENTO_CR,2021-05-26,527411,2021-03-28,2021-05-26,59,2021-04-26,4,0.8750612937022688,44.82085800814256,2217,11.393369413289843,1,37,44,2021-05-28,31.0,-111_-9
A_98,A,True,-56.27643635116601,-4.734619768328002,13.415263419932872,DESMATAMENTO_CR,2021-06-22,347193,2021-05-26,2021-07-15,50,2021-06-20,6,0.8729095397441797,40.53798914460032,1237,11.393369413289843,1,15,27,2021-08-26,67.0,-113_-10
A_99,A,True,-56.25164765998091,-4.582683349251832,19.271254784537852,DESMATAMENTO_CR,2021-06-30,347075,2021-05-28,2021-06-30,33,2021-06-13,6,0.8718652334685257,46.65257292696052,1850,11.393369413289843,1,16,26,2021-09-19,97.0,-113_-10
A_100,A,False,-55.09747690411313,-4.247940534578955,15.768719024896807,DESMATAMENTO_CR,2021-10-15,456133,2021-08-21,2021-10-20,60,2021-09-20,9,0.8712784407111983,19.33143118365385,1500,11.393369413289843,1,4,24,,,-111_-9
A_101,A,False,-55.22324859775641,-4.353544611378207,10.212382553561591,DESMATAMENTO_CR,2021-08-21,787497,2021-07-18,2021-09-16,60,2021-08-17,8,0.8704593182749688,28.19234805764132,953,11.393369413289843,1,10,30,,,-111_-9
A_102,A,False,-55.41969396736222,-4.492900080256822,30.582451802852564,DESMATAMENTO_CR,2021-06-24,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.8683711510273144,43.260184551031,2961,11.393369413289843,1,32,49,,,-111_-9
A_103,A,False,-55.22116945209673,-4.347169788797063,13.367039670423232,DESMATAMENTO_CR,2021-08-06,787497,2021-07-18,2021-09-16,60,2021-08-17,8,0.8679058918306215,37.00350123607319,1284,11.393369413289843,1,11,30,,,-111_-9
A_104,A,True,-55.859413303458275,-4.816995509686764,45.16608538335674,DESMATAMENTO_CR,2021-05-26,337499,2021-05-07,2021-06-22,46,2021-05-30,5,0.866022445521032,43.38985989584573,4429,11.393369413289843,1,21,27,2021-06-09,10.0,-112_-10
A_105,A,False,-55.42862909270216,-3.9553070019723866,6.226232147254609,DESMATAMENTO_CR,2021-08-09,406391,2021-07-10,2021-08-25,46,2021-08-02,8,0.8659310579377488,28.97393158472208,582,11.393369413289843,1,7,24,2021-09-19,48.0,-111_-8
A_106,A,False,-55.41740347490348,-4.47729736164736,44.5001746537135,DESMATAMENTO_CR,2021-06-24,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.8638529291886033,34.306915341058726,4319,11.393369413289843,1,32,47,,,-111_-9
A_107,A,True,-56.0579189931014,-4.613300264200791,13.932873488991241,DESMATAMENTO_CR,2021-07-23,397043,2021-06-30,2021-08-18,49,2021-07-24,7,0.8602993642718235,37.914802816785965,1303,11.393369413289843,1,12,27,,,-113_-10
A_108,A,False,-56.23372871821666,-4.471506652734239,11.744886897106563,DESMATAMENTO_CR,2021-09-22,441593,2021-08-18,2021-10-14,57,2021-09-15,9,0.8583369314180088,22.03017770118355,1105,11.393369413289843,1,9,27,2021-09-13,-3.0,-113_-9
A_109,A,True,-56.048159078080914,-4.694827971150832,13.04179857443776,DESMATAMENTO_CR,2021-09-22,457550,2021-08-22,2021-09-25,34,2021-09-08,9,0.8564279292721463,18.930829947635537,1232,11.393369413289843,1,8,25,,,-113_-10
A_110,A,True,-56.12777959667852,-4.658181043890867,8.619320749084837,DESMATAMENTO_CR,2021-06-22,347208,2021-05-24,2021-07-18,55,2021-06-20,6,0.8559641971710115,33.914165891620044,805,11.393369413289843,1,13,24,,,-113_-10
A_111,A,False,-55.0673413399429,-4.380065419858794,13.618082398819737,DESMATAMENTO_CR,2021-10-17,456548,2021-09-16,2021-10-29,43,2021-10-07,10,0.8558467819713499,15.493961179423533,1292,11.393369413289843,1,3,21,2022-01-11,95.0,-111_-9
A_112,A,True,-55.82760098607889,-4.817164646171696,21.147878296801633,DESMATAMENTO_CR,2021-06-22,347199,2021-05-30,2021-07-15,46,2021-06-22,6,0.8540488582361205,52.85327059661979,1973,11.393369413289843,1,18,30,,,-112_-10
A_113,A,True,-56.21545040650407,-4.749294308943091,7.041793377115577,DESMATAMENTO_CR,2021-07-28,398268,2021-07-08,2021-08-04,27,2021-07-21,7,0.8531563893576534,29.51037401138533,629,11.393369413289843,1,13,25,,,-113_-10
A_114,A,False,-55.15441847964378,-4.182537690839696,6.433235427425802,DESMATAMENTO_CR,2021-09-30,776909,2021-08-10,2021-10-06,57,2021-09-07,9,0.852985644749101,20.696005454092468,581,11.393369413289843,1,5,26,,,-111_-9
A_115,A,False,-55.4434765838551,-3.9734315491819836,30.39982433427796,DESMATAMENTO_CR,2021-06-21,347096,2021-05-27,2021-07-27,61,2021-06-26,6,0.8500107834766766,31.877248500971376,2960,11.393369413289843,1,16,26,2021-07-15,18.0,-111_-8
A_116,A,True,-56.087603357903355,-4.594352813852814,17.479435091079772,DESMATAMENTO_CR,2021-09-07,440451,2021-07-29,2021-09-15,48,2021-08-22,8,0.8495564042388702,32.72022099646981,1694,11.393369413289843,1,7,25,,,-113_-10
A_117,A,True,-56.06764262807977,-4.796247281971059,15.68351019408591,DESMATAMENTO_CR,2021-06-27,347926,2021-05-26,2021-07-20,55,2021-06-22,6,0.8490520258368328,42.1671587758285,1516,11.393369413289843,1,15,19,2021-08-26,64.0,-113_-10
A_118,A,True,-56.16889409433214,-5.140052041220768,20.622829929574394,DESMATAMENTO_CR,2021-07-18,396552,2021-06-30,2021-08-12,43,2021-07-21,7,0.8469018505804334,43.36509496817195,1969,11.393369413289843,1,13,28,2021-09-01,41.0,-113_-11
A_119,A,False,-55.22169912115505,-4.349696191671898,9.776694054424576,DESMATAMENTO_CR,2021-08-09,787497,2021-07-18,2021-09-16,60,2021-08-17,8,0.8441576370986924,35.740202832937506,922,11.393369413289843,1,8,26,2021-09-13,27.0,-111_-9
A_120,A,True,-55.906600650406496,-4.737441056910569,15.089813858090714,DESMATAMENTO_CR,2021-07-11,531820,2021-07-01,2021-07-29,28,2021-07-15,7,0.8439778086157004,46.87473585440646,1453,11.393369413289843,1,16,30,,,-112_-10
A_121,A,False,-55.60218111111111,-4.185999444444445,12.522653709986805,DESMATAMENTO_CR,2021-09-30,442155,2021-08-23,2021-10-20,58,2021-09-21,9,0.8433007034120996,21.97570558982412,1178,11.393369413289843,1,4,25,2021-11-24,64.0,-112_-9
A_122,A,True,-55.666532119329965,-4.544783897986071,21.73264481497351,DESMATAMENTO_CR,2021-09-02,440170,2021-08-17,2021-09-07,21,2021-08-27,8,0.8420231280150429,26.103669694027904,2066,11.393369413289843,1,8,27,,,-112_-10
A_123,A,True,-56.271138345947136,-4.703903487989471,18.642311518204863,DESMATAMENTO_CR,2021-06-22,347064,2021-05-26,2021-06-30,35,2021-06-12,6,0.840282089403679,26.862559597630124,1795,11.393369413289843,1,15,26,,,-113_-10
A_124,A,True,-55.62830776297941,-4.515486163522011,33.17090674384916,DESMATAMENTO_CR,2021-07-19,530604,2021-06-30,2021-07-24,24,2021-07-12,7,0.8398487909607422,49.90381212459766,3217,11.393369413289843,1,14,23,,,-112_-10
A_125,A,False,-56.259238365896984,-4.006783244523387,6.913524976021051,DESMATAMENTO_CR,2021-08-03,413321,2021-07-19,2021-08-17,29,2021-08-02,8,0.835537893766298,32.900524194647495,649,11.393369413289843,1,10,25,2021-08-08,5.0,-113_-9
A_126,A,False,-55.33090599613153,-4.090737782076081,6.348004059082269,DESMATAMENTO_CR,2021-09-02,440163,2021-08-08,2021-10-06,59,2021-09-06,9,0.8342591804305052,32.23813902921083,581,11.393369413289843,1,12,49,2021-10-13,36.0,-111_-9
