event_id,uf,radd_any,cp,reg_now,reg_next,truth_year,pred_naive,pred_two_year,pred_k0
E180,PA,2021-09-03,5.9,1,0.0,2021,2021,2021,2021
E181,PA,2021-01-06,27.806,1,0.0,2021,2021,2021,2021
E182,PA,2021-01-01,23.968,1,0.0,2021,2021,2021,2021
E183,PA,2021-01-13,20.0,1,0.0,2021,2021,2021,2021
E184,PA,2021-10-04,4.613,1,0.0,2021,2021,2021,2021
E185,PA,2021-09-22,8.133,1,0.0,2021,2021,2021,2021
E186,PA,2021-01-01,22.0,1,0.0,2021,2021,2021,2021
E187,PA,2021-09-01,5.933,1,0.0,2021,2021,2021,2021
E188,PA,2021-06-13,39.4,1,0.0,2021,2021,2021,2021
E189,PA,2021-08-10,12.032,1,0.0,2021,2021,2021,2021
E190,PA,2021-08-24,5.129,1,0.0,2021,2021,2021,2021
E191,PA,2021-01-01,28.968,1,0.0,2021,2021,2021,2021
E192,PA,2021-01-01,22.968,1,0.0,2021,2021,2021,2021
E193,PA,2021-07-19,10.935,1,0.0,2021,2021,2021,2021
E194,PA,2021-10-04,4.742,1,0.0,2021,2021,2021,2021
E195,PA,2021-07-28,13.484,1,0.0,2021,2021,2021,2021
E196,PA,2021-06-18,33.0,1,0.0,2021,2021,2021,2021
E197,PA,2021-09-04,18.333,1,0.0,2021,2021,2021,2021
E198,PA,2021-01-13,25.161,1,0.0,2021,2021,2021,2021
E199,PA,2021-09-03,6.8,1,0.0,2021,2021,2021,2021
E200,MA,2021-07-07,24.968,1,0.0,2021,2021,2021,2021
E202,PA,2021-01-25,52.387,1,0.0,2021,2021,2021,2021
E203,MA,2021-09-29,4.033,1,0.0,2021,2021,2021,2021
E204,PA,2021-05-08,18.226,1,0.0,2021,2021,2021,2021
E205,PA,2021-09-29,5.067,1,0.0,2021,2021,2021,2021
E206,PA,2021-02-18,23.0,1,0.0,2021,2021,2021,2021
E208,MT,2021-04-24,29.4,1,0.0,2021,2021,2021,2021
E209,PA,2021-09-27,8.4,1,0.0,2021,2021,2021,2021
E210,MT,2021-07-29,30.774,1,0.0,2021,2021,2021,2021
E212,PA,2021-09-20,4.667,1,0.0,2021,2021,2021,2021
E213,PA,2021-06-11,24.167,1,0.0,2021,2021,2021,2021
E214,PA,2021-01-11,22.645,1,0.0,2021,2021,2021,2021
E215,PA,2021-08-09,15.548,1,0.0,2021,2021,2021,2021
E216,PA,2021-09-20,7.0,1,0.0,2021,2021,2021,2021
E217,PA,2021-09-27,2.3,1,0.0,2021,2021,2021,2021
E218,PA,2021-01-06,27.0,1,0.0,2021,2021,2021,2021
E220,PA,2021-08-22,12.742,1,0.0,2021,2021,2021,2021
E221,MT,2021-03-31,35.0,1,0.0,2021,2021,2021,2021
E222,PA,2021-01-18,53.0,1,0.0,2021,2021,2021,2021
E223,PA,2021-07-29,18.323,1,0.0,2021,2021,2021,2021
E224,PA,2021-04-12,51.2,1,0.0,2021,2021,2021,2021
E225,PA,2021-06-11,16.0,1,0.0,2021,2021,2021,2021
E226,PA,2021-08-10,9.71,1,0.0,2021,2021,2021,2021
E227,PA,2021-07-12,19.226,1,0.0,2021,2021,2021,2021
E229,PA,2021-07-19,16.161,1,0.0,2021,2021,2021,2021
E230,PA,2021-06-01,20.967,1,0.0,2021,2021,2021,2021
E231,PA,2021-04-14,24.6,1,0.0,2021,2021,2021,2021
E232,PA,2021-10-04,2.742,1,0.0,2021,2021,2021,2021
E233,PA,2021-02-04,37.0,1,0.0,2021,2021,2021,2021
E234,MT,2021-10-21,2.968,1,0.0,2021,2021,2021,2021
E235,MT,2021-09-18,16.2,1,0.0,2021,2021,2021,2021
E236,MT,2021-01-09,75.839,1,0.0,2021,2021,2021,2021
E237,MT,2021-09-27,3.5,1,0.0,2021,2021,2021,2021
E238,MT,2021-02-02,36.857,1,0.0,2021,2021,2021,2021
E239,PA,2021-08-02,9.677,1,0.0,2021,2021,2021,2021
E240,PA,2021-09-25,2.333,1,0.0,2021,2021,2021,2021
E241,PA,2021-07-27,10.645,1,0.0,2021,2021,2021,2021
E242,PA,2021-05-18,26.258,1,0.0,2021,2021,2021,2021
E243,PA,2021-06-28,19.333,1,0.0,2021,2021,2021,2021
E244,MT,2021-06-04,50.933,1,0.0,2021,2021,2021,2021
E245,PA,2021-06-04,20.333,1,0.0,2021,2021,2021,2021
E246,PA,2021-09-03,8.8,1,0.0,2021,2021,2021,2021
E247,AC,2021-07-04,67.161,1,0.0,2021,2021,2021,2021
E248,PA,2021-07-22,18.452,1,0.0,2021,2021,2021,2021
E249,PA,2021-08-22,13.742,1,0.0,2021,2021,2021,2021
E250,PA,2021-07-15,10.581,1,0.0,2021,2021,2021,2021
E251,PA,2021-05-28,18.097,1,0.0,2021,2021,2021,2021
E252,PA,2021-05-28,16.194,1,0.0,2021,2021,2021,2021
E253,PA,2021-07-27,11.516,1,0.0,2021,2021,2021,2021
E254,PA,2021-08-02,9.806,1,0.0,2021,2021,2021,2021
E255,PA,2021-01-04,47.0,1,0.0,2021,2021,2021,2021
