event_id,state,radd_only,lon,lat,area_ha,classname,view_date,radd_any,radd_high,date_upper,event_month,clear_post_radd_any,s1_post_radd_any,clear_post_radd_high,clear_post_date_upper,s1_post_date_upper,clear_total,s1_total,ang_mean_deg,ang_npx,tau_p85,tau_p90,tau_p95,reg_p85,registered,reg_p95,radd_npx,block
E5426,PA,0,-48.603,-3.251,15.313,DESMATAMENTO_CR,2021-10-12,2021-08-05,2021-08-05,2021-08-05,8.0,9.516,17.194,9.516,9.516,17.194,25,35,28.465,1467,12.102,12.73,13.754,1,1,1,68,-98_-7
E5427,AM,0,-61.631,-7.594,10.99,DESMATAMENTO_CR,2021-08-10,2021-07-30,2021-07-30,2021-07-30,7.0,17.194,49.355,17.194,17.194,49.355,35,120,36.02,1055,9.556,10.204,11.25,1,1,1,1021,-124_-16
E5428,PA,0,-50.465,-3.315,7.128,DESMATAMENTO_CR,2021-10-12,2021-09-27,2021-10-09,2021-09-27,9.0,2.2,15.4,1.419,2.2,15.4,26,59,10.963,674,12.102,12.73,13.754,0,0,0,113,-101_-7
E5429,PA,0,-50.427,-3.593,18.748,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,2.871,14.355,2.871,2.871,14.355,21,59,14.866,1782,12.102,12.73,13.754,1,1,1,505,-101_-8
E5430,PA,0,-48.607,-2.759,14.687,DESMATAMENTO_CR,2021-10-12,2021-08-29,2021-08-29,2021-08-29,8.0,14.516,13.323,14.516,14.516,13.323,55,35,32.139,1378,12.102,12.73,13.754,1,1,1,658,-98_-6
E5431,PA,0,-48.567,-3.121,17.226,DESMATAMENTO_CR,2021-10-12,2021-08-23,2021-08-23,2021-08-23,8.0,4.032,14.29,4.032,4.032,14.29,20,35,18.849,1640,12.102,12.73,13.754,1,1,1,462,-98_-7
E5432,PA,0,-48.594,-3.151,7.055,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,2.742,7.613,2.742,2.742,7.613,26,35,31.903,615,12.102,12.73,13.754,1,1,1,226,-98_-7
E5433,PA,0,-50.141,-4.524,6.762,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,7.484,7.613,7.484,7.484,7.613,33,30,18.524,607,12.102,12.73,13.754,1,1,1,97,-101_-10
E5434,PA,0,-50.107,-4.442,6.983,DESMATAMENTO_CR,2021-10-12,2021-01-01,2021-01-01,2021-01-01,1.0,26.968,29.903,26.968,26.968,29.903,27,30,21.828,650,12.102,12.73,13.754,1,1,1,8,-101_-9
E5435,AM,0,-61.648,-7.559,8.409,DESMATAMENTO_CR,2021-08-10,2021-07-25,2021-07-25,2021-07-25,7.0,18.161,51.129,18.161,18.161,51.129,36,120,34.83,802,9.556,10.204,11.25,1,1,1,702,-124_-16
E5436,PA,0,-48.581,-2.391,12.95,DESMATAMENTO_CR,2021-10-12,2021-11-09,2021-11-09,2021-10-12,11.0,3.1,4.4,3.1,5.839,6.839,39,35,32.929,1247,12.102,12.73,13.754,1,1,1,35,-98_-5
E5437,PA,0,-50.059,-3.828,8.456,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-09-22,2021-09-22,9.0,12.0,8.533,12.0,12.0,8.533,45,30,27.272,760,12.102,12.73,13.754,1,1,1,360,-101_-8
